BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,LOG_BALANCE,LOG_CASH_ADVANCE,LOG_PAYMENTS,CREDIT_UTILIZATION_RATIO,PAYMENT_RATIO,MONTHLY_AVG_PURCHASES,MONTHLY_AVG_PAYMENTS,Cluster,KMeans_Cluster,Agglomerative_Cluster,Agglo_Cluster
40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,3.735303702663308,0.0,5.312230547798351,0.040900749,1.4465084374331387,7.95,16.816840333333335,0,2,0,0
3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,8.07198906965229,8.77089628414314,8.319725329557853,0.4574953451428571,3.8262414595236622,0.0,341.91938308333334,1,0,2,2
2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,7.82250436793527,0.0,6.434653643065494,0.33268651493333334,0.9916815374640991,64.43083333333333,51.83889516666667,2,2,3,3
1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,312.343947,0.0,12,7.419183046623112,5.331694196081131,0.0,0.22222273893333333,0.0,124.91666666666667,0.0,3,1,0,0
817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,6.70773522569534,0.0,6.521114029626576,0.6814286125,2.771074534012016,1.3333333333333333,56.52789691666666,0,1,0,0
1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,7.5015398929484585,0.0,7.244982780319138,1.0054604172222221,0.5816014439919931,111.10666666666667,116.67148083333332,1,1,0,0
627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,6.442955376434953,0.0,8.757046643926731,0.046463763407407405,32.081819841229205,590.9175,529.526194,2,3,1,1
1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,7.509144970103254,0.0,6.522188502413885,0.7928924969565218,1.2763565763909182,36.35,56.58875683333333,3,2,0,0
1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,6.92355625642517,0.0,6.535645496995635,0.14498949614285714,2.206279801231432,71.79083333333334,57.35654733333333,0,2,0,0
152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,5.031913792542936,0.0,7.06113759883932,0.013838725,11.61260541661563,106.8,97.06421591666667,1,2,0,0
1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,7.16559002295018,0.0,6.988690825187471,1.0776041158333334,0.4985971930615025,76.67666666666666,90.27508391666667,2,1,0,0
630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,6.448564569245062,0.0,6.560491096026781,0.315397372,4.536308905841152,124.34833333333334,58.80155224999999,3,1,0,0
1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.207013,0.25,12,7.325101934452095,0.0,6.412251160861846,0.5056428733333334,1.2408302469552797,268.1658333333333,50.68864075,0,2,3,3
921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26,7500.0,1655.891435,251.137986,0.083333,12,6.827296968040859,0.0,7.412698496269839,0.12289244919999999,6.593552259354345,178.16083333333333,137.99095291666666,1,2,3,3
2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12,7.927963670337596,5.851660350090109,6.692887357486858,0.9242575780000001,0.8138163578349816,0.0,67.13733116666667,2,1,0,0
6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4,11,8000.0,1993.439277,2109.90649,0.0,12,8.83742181644191,7.741746975288393,7.598118225657629,0.860776653875,0.9447998223845456,134.30833333333334,166.11993975,3,0,2,2
2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,3000.0,391.974562,376.579631,0.0,8,7.636787979616954,7.932101784121888,5.973744882038962,0.6906914513333333,1.040880944513964,0.0,48.99682025,0,1,0,0
41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0,8,2500.0,254.590662,73.203221,0.25,12,3.739798042057795,0.0,5.543577188189688,0.0164357956,3.477861472789565,43.25,21.215888500000002,1,2,0,0
